INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2022-10-02T05:00:00-00:00,2022-10-02T06:00:00-00:00,2022-10-01,23,0,DAVIS_1_N030,DAVIS_1_N030,DAVIS_1_N030,DAM,LMP,LMP_PRC,DAVIS_1_N030,ALL,1,68.93909,1
2022-10-02T06:00:00-00:00,2022-10-02T07:00:00-00:00,2022-10-01,24,0,DAVIS_1_N030,DAVIS_1_N030,DAVIS_1_N030,DAM,LMP,LMP_PRC,DAVIS_1_N030,ALL,1,65.01511,1
2022-10-02T04:00:00-00:00,2022-10-02T05:00:00-00:00,2022-10-01,22,0,DAVIS_1_N030,DAVIS_1_N030,DAVIS_1_N030,DAM,MCC,LMP_CONG_PRC,DAVIS_1_N030,ALL,1,0,2
2022-10-01T12:00:00-00:00,2022-10-01T13:00:00-00:00,2022-10-01,6,0,DAVIS_1_N030,DAVIS_1_N030,DAVIS_1_N030,DAM,MCC,LMP_CONG_PRC,DAVIS_1_N030,ALL,1,0,2
2022-10-01T17:00:00-00:00,2022-10-01T18:00:00-00:00,2022-10-01,11,0,DAVIS_1_N030,DAVIS_1_N030,DAVIS_1_N030,DAM,MCC,LMP_CONG_PRC,DAVIS_1_N030,ALL,1,9.10026,2
2022-10-02T02:00:00-00:00,2022-10-02T03:00:00-00:00,2022-10-01,20,0,DAVIS_1_N030,DAVIS_1_N030,DAVIS_1_N030,DAM,MCC,LMP_CONG_PRC,DAVIS_1_N030,ALL,1,0.06791,2
2022-10-01T08:00:00-00:00,2022-10-01T09:00:00-00:00,2022-10-01,2,0,DAVIS_1_N030,DAVIS_1_N030,DAVIS_1_N030,DAM,MCC,LMP_CONG_PRC,DAVIS_1_N030,ALL,1,0,2
2022-10-01T19:00:00-00:00,2022-10-01T20:00:00-00:00,2022-10-01,13,0,DAVIS_1_N030,DAVIS_1_N030,DAVIS_1_N030,DAM,MCC,LMP_CONG_PRC,DAVIS_1_N030,ALL,1,8.03198,2
2022-10-01T20:00:00-00:00,2022-10-01T21:00:00-00:00,2022-10-01,14,0,DAVIS_1_N030,DAVIS_1_N030,DAVIS_1_N030,DAM,MCC,LMP_CONG_PRC,DAVIS_1_N030,ALL,1,7.64991,2
2022-10-01T22:00:00-00:00,2022-10-01T23:00:00-00:00,2022-10-01,16,0,DAVIS_1_N030,DAVIS_1_N030,DAVIS_1_N030,DAM,MCC,LMP_CONG_PRC,DAVIS_1_N030,ALL,1,8.11662,2
2022-10-01T23:00:00-00:00,2022-10-02T00:00:00-00:00,2022-10-01,17,0,DAVIS_1_N030,DAVIS_1_N030,DAVIS_1_N030,DAM,MCC,LMP_CONG_PRC,DAVIS_1_N030,ALL,1,6.95724,2
2022-10-02T03:00:00-00:00,2022-10-02T04:00:00-00:00,2022-10-01,21,0,DAVIS_1_N030,DAVIS_1_N030,DAVIS_1_N030,DAM,MCC,LMP_CONG_PRC,DAVIS_1_N030,ALL,1,1.44971,2
